"","provinceEnglishName","province_confirmedCount","province_deadCount","province_curedCount","updateTime"
"1","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"2","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"3","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"4","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"5","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"6","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"7","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"8","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"9","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"10","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"11","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"12","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"13","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"14","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"15","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"16","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"17","Hubei",64786,2563,18946,"2020-02-25 20:43:29.542"
"18","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"19","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"20","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"21","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"22","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"23","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"24","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"25","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"26","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"27","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"28","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"29","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"30","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"31","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"32","Shandong",756,6,355,"2020-02-25 20:43:29.542"
"33","Hainan",168,5,124,"2020-02-25 20:43:29.542"
"34","Hainan",168,5,124,"2020-02-25 20:43:29.542"
"35","Hainan",168,5,124,"2020-02-25 20:43:29.542"
"36","Hainan",168,5,124,"2020-02-25 20:43:29.542"
"37","Hainan",168,5,124,"2020-02-25 20:43:29.542"
